,ticker,analyst_rating,article_title,article_date,link
17,DIS,Over,"Walt Disney Co. stock falls Wednesday, underperforms market","Mar. 23, 2022 at 4:48 p.m. ET",https://www.marketwatch.com/story/walt-disney-co-stock-falls-wednesday-underperforms-market-01648068486-d203dd4feefe?mod=mw_quote_news
18,PFE,Over,Pfizer Inc. stock underperforms Wednesday when compared to competitors,"Mar. 23, 2022 at 5:14 p.m. ET",https://www.marketwatch.com/story/pfizer-inc-stock-underperforms-wednesday-when-compared-to-competitors-01648070065-807080847a27?mod=mw_quote_news
19,CVX,Over,Amazon Faces Union Vote By Staten Island Warehouse Workers,"Mar. 23, 2022 at 6:38 p.m. ET",https://www.marketwatch.com/articles/amazon-faces-union-vote-by-staten-island-warehouse-workers-51648073773?mod=mw_quote_news
20,ABBV,Over,"AbbVie Inc. stock falls Wednesday, still outperforms market","Mar. 23, 2022 at 4:32 p.m. ET",https://www.marketwatch.com/story/abbvie-inc-stock-falls-wednesday-still-outperforms-market-01648067578-d95eccffb6d0?mod=mw_quote_news
21,KO,Over,Coca-Cola Co. stock outperforms competitors despite losses on the day,"Mar. 23, 2022 at 5:03 p.m. ET",https://www.marketwatch.com/story/coca-cola-co-stock-outperforms-competitors-despite-losses-on-the-day-01648069385-ddcf1315b1a8?mod=mw_quote_news
22,CSCO,Over,Cisco Systems Inc. stock underperforms Wednesday when compared to competitors,"Mar. 23, 2022 at 4:46 p.m. ET",https://www.marketwatch.com/story/cisco-systems-inc-stock-underperforms-wednesday-when-compared-to-competitors-01648068375-9e47ee14078d?mod=mw_quote_news
23,AVGO,Buy,Broadcom Inc. stock underperforms Wednesday when compared to competitors,"Mar. 23, 2022 at 4:38 p.m. ET",https://www.marketwatch.com/story/broadcom-inc-stock-underperforms-wednesday-when-compared-to-competitors-01648067897-92023cefcdbb?mod=mw_quote_news
24,COST,Over,Costco Wholesale Corp. stock outperforms competitors despite losses on the day,"Mar. 23, 2022 at 4:45 p.m. ET",https://www.marketwatch.com/story/costco-wholesale-corp-stock-outperforms-competitors-despite-losses-on-the-day-01648068334-f0e371b4716b?mod=mw_quote_news
25,PEP,Over,"PepsiCo Inc. stock falls Wednesday, still outperforms market","Mar. 23, 2022 at 5:14 p.m. ET",https://www.marketwatch.com/story/pepsico-inc-stock-falls-wednesday-still-outperforms-market-01648070045-f256bfda3f61?mod=mw_quote_news
26,VZ,Hold,Verizon Communications Inc. stock outperforms market despite losses on the day,"Mar. 23, 2022 at 5:27 p.m. ET",https://www.marketwatch.com/story/verizon-communications-inc-stock-outperforms-market-despite-losses-on-the-day-01648070844-5fb9a0880652?mod=mw_quote_news
27,ADBE,Over,"Adobe Inc. stock falls Wednesday, underperforms market","Mar. 23, 2022 at 4:34 p.m. ET",https://www.marketwatch.com/story/adobe-inc-stock-falls-wednesday-underperforms-market-01648067643-2fa1ce642386?mod=mw_quote_news
28,TMO,Over,Thermo Fisher Scientific Inc. stock underperforms Wednesday when compared to competitors,"Mar. 23, 2022 at 5:23 p.m. ET",https://www.marketwatch.com/story/thermo-fisher-scientific-inc-stock-underperforms-wednesday-when-compared-to-competitors-01648070630-c236776ea0e7?mod=mw_quote_news
29,ABT,Over,"Abbott Laboratories stock falls Wednesday, underperforms market","Mar. 23, 2022 at 4:33 p.m. ET",https://www.marketwatch.com/story/abbott-laboratories-stock-falls-wednesday-underperforms-market-01648067611-da1145d1cc67?mod=mw_quote_news
30,CMCSA,Over,Comcast Corp. Cl A stock outperforms competitors despite losses on the day,"Mar. 23, 2022 at 4:44 p.m. ET",https://www.marketwatch.com/story/comcast-corp-cl-a-stock-outperforms-competitors-despite-losses-on-the-day-01648068264-a16c8f0d4fee?mod=mw_quote_news
31,WFC,Over,Wells Fargo & Co. stock underperforms Wednesday when compared to competitors,"Mar. 23, 2022 at 5:28 p.m. ET",https://www.marketwatch.com/story/wells-fargo-co-stock-underperforms-wednesday-when-compared-to-competitors-01648070908-06cd8fabf30d?mod=mw_quote_news
32,CRM,Buy,Salesforce.com Inc. stock underperforms Wednesday when compared to competitors,"Mar. 23, 2022 at 4:45 p.m. ET",https://www.marketwatch.com/story/salesforce-com-inc-stock-underperforms-wednesday-when-compared-to-competitors-01648068351-6959849102d1?mod=mw_quote_news
33,LLY,Over,Eli Lilly & Co. stock outperforms market despite losses on the day,"Mar. 23, 2022 at 5:04 p.m. ET",https://www.marketwatch.com/story/eli-lilly-co-stock-outperforms-market-despite-losses-on-the-day-01648069462-3bf2745893dc?mod=mw_quote_news
34,ACN,Over,Accenture PLC Cl A stock outperforms competitors despite losses on the day,"Mar. 23, 2022 at 4:33 p.m. ET",https://www.marketwatch.com/story/accenture-plc-cl-a-stock-outperforms-competitors-despite-losses-on-the-day-01648067618-c53c0340952b?mod=mw_quote_news
35,INTC,Hold,Intel Corp. stock outperforms competitors despite losses on the day,"Mar. 23, 2022 at 4:59 p.m. ET",https://www.marketwatch.com/story/intel-corp-stock-outperforms-competitors-despite-losses-on-the-day-01648069180-ff3d10716c52?mod=mw_quote_news
36,WMT,Over,"Walmart Inc. stock falls Wednesday, underperforms market","Mar. 23, 2022 at 5:29 p.m. ET",https://www.marketwatch.com/story/walmart-inc-stock-falls-wednesday-underperforms-market-01648070957-1be0111e6bce?mod=mw_quote_news
37,MRK,Over,Merck & Co. Inc. stock outperforms market on strong trading day,"Mar. 23, 2022 at 5:08 p.m. ET",https://www.marketwatch.com/story/merck-co-inc-stock-outperforms-market-on-strong-trading-day-01648069704-1e2901b3ebaa?mod=mw_quote_news
38,AMD,Over,"Advanced Micro Devices Inc. stock falls Wednesday, still outperforms market","Mar. 23, 2022 at 4:36 p.m. ET",https://www.marketwatch.com/story/advanced-micro-devices-inc-stock-falls-wednesday-still-outperforms-market-01648067790-0c952af98c9c?mod=mw_quote_news
39,QCOM,Over,Qualcomm Inc. stock underperforms Wednesday when compared to competitors,"Mar. 23, 2022 at 5:17 p.m. ET",https://www.marketwatch.com/story/qualcomm-inc-stock-underperforms-wednesday-when-compared-to-competitors-01648070244-d3c40379c067?mod=mw_quote_news
40,DHR,Over,"Danaher Corp. stock falls Wednesday, underperforms market","Mar. 23, 2022 at 4:48 p.m. ET",https://www.marketwatch.com/story/danaher-corp-stock-falls-wednesday-underperforms-market-01648068482-aeef39c47352?mod=mw_quote_news
41,NKE,Over,Nike Inc. Cl B stock outperforms competitors despite losses on the day,"Mar. 23, 2022 at 5:09 p.m. ET",https://www.marketwatch.com/story/nike-inc-cl-b-stock-outperforms-competitors-despite-losses-on-the-day-01648069796-e55dd7c7b6ec?mod=mw_quote_news
42,T,Over,"AT&T Inc. stock remains steady Wednesday, still outperforms market","Mar. 23, 2022 at 5:22 p.m. ET",https://www.marketwatch.com/story/at-t-inc-stock-remains-steady-wednesday-still-outperforms-market-01648070565-4025ebc89175?mod=mw_quote_news
43,NFLX,Over,"New on Netflix in April 2022: Here’s everything that’s coming, and what’s leaving","Mar. 23, 2022 at 5:38 p.m. ET",https://www.marketwatch.com/story/new-on-netflix-in-april-2022-heres-everything-thats-coming-and-whats-leaving-11648071491?mod=mw_quote_news
44,UNP,Over,Union Pacific Corp. stock outperforms competitors on strong trading day,"Mar. 23, 2022 at 5:26 p.m. ET",https://www.marketwatch.com/story/union-pacific-corp-stock-outperforms-competitors-on-strong-trading-day-01648070768-b465b0d76ff5?mod=mw_quote_news
45,PM,Over,"Philip Morris International Inc. stock falls Wednesday, underperforms market","Mar. 23, 2022 at 5:15 p.m. ET",https://www.marketwatch.com/story/philip-morris-international-inc-stock-falls-wednesday-underperforms-market-01648070137-bf9347b0ae8c?mod=mw_quote_news
46,LOW,Over,"Lowe's Cos. stock falls Wednesday, underperforms market","Mar. 23, 2022 at 5:05 p.m. ET",https://www.marketwatch.com/story/lowe-s-cos-stock-falls-wednesday-underperforms-market-01648069514-ca6f44aa538c?mod=mw_quote_news
47,TXN,Hold,"Texas Instruments Inc. stock falls Wednesday, underperforms market","Mar. 23, 2022 at 5:25 p.m. ET",https://www.marketwatch.com/story/texas-instruments-inc-stock-falls-wednesday-underperforms-market-01648070703-50c8ad4a77c1?mod=mw_quote_news
48,ROKU,Over,Apple’s Privacy Changes Crushed Facebook. But Roku Could Find an Opportunity.,"Mar. 22, 2022 at 1:18 p.m. ET",https://www.marketwatch.com/articles/apples-privacy-changes-crushed-facebook-but-roku-could-find-an-opportunity-51647969529?mod=mw_quote_news
